0.52	8.197	2019-3-8
0.52	8.206	2019-6-21
0.52	8.206	2019-7-31
0.52	8.215	2020-4-5
0.53	8.238	2019-11-9
0.53	8.413	2019-2-23
0.53	8.448	2019-5-1
0.53	8.454	2019-5-24
0.53	8.455	2019-2-27
0.53	8.466	2019-4-23
0.53	8.489	2019-11-6
0.53	8.492	2020-1-30
0.54	8.502	2019-3-21
0.54	8.502	2020-10-11
0.54	8.505	2021-1-24
0.54	8.568	2019-9-17
0.54	8.582	2019-4-28
0.54	8.639	2020-1-29
0.54	8.646	2021-2-6
0.54	8.695	2019-7-17
0.54	8.751	2019-11-2
0.55	8.787	2021-3-31
0.55	8.898	2019-2-4
0.55	8.961	2019-3-15
0.55	9.000	2020-9-3
0.55	9.024	2019-2-1
0.55	9.122	2019-5-3
0.55	9.191	2019-7-23
0.55	9.210	2021-2-23
0.56	9.211	2020-6-21
0.56	9.276	2021-3-14
0.56	9.309	2021-2-17
0.56	9.338	2019-2-10
0.56	9.354	2019-2-25
0.56	9.368	2019-10-13
0.56	9.416	2020-8-31
0.56	9.449	2019-11-1
0.57	9.468	2021-4-5
0.57	9.488	2019-10-14
0.57	9.496	2019-8-13
0.57	9.498	2019-3-6
0.57	9.503	2019-2-5
0.57	9.505	2020-10-19
0.57	9.528	2019-10-18
0.57	9.531	2020-4-8
0.57	9.544	2019-3-14
0.58	9.634	2019-1-31
0.58	9.635	2020-9-22
0.58	9.652	2020-6-7
0.58	9.677	2019-10-24
0.58	9.682	2019-5-13
0.58	9.685	2021-3-3
0.58	9.793	2020-9-17
0.58	9.797	2020-5-8
0.59	9.841	2020-7-23
0.59	9.957	2021-3-24
0.59	9.999	2019-10-21
0.59	10.004	2020-2-15
0.59	10.081	2021-4-17
0.59	10.091	2020-9-23
0.59	10.104	2019-4-15
0.59	10.134	2021-4-25
0.60	10.145	2019-3-7
0.60	10.252	2020-4-20
0.60	10.271	2020-10-18
0.60	10.380	2020-9-9
0.60	10.393	2020-4-12
0.60	10.415	2020-10-15
0.60	10.517	2019-8-6
0.60	10.520	2020-8-7
0.61	10.602	2020-8-19
0.61	10.650	2020-4-7
0.61	10.653	2021-5-10
0.61	10.733	2019-10-19
0.61	10.790	2021-4-7
0.61	10.812	2019-10-15
0.61	10.813	2020-10-14
0.61	10.834	2019-10-23
0.61	10.859	2020-7-30
0.62	10.862	2020-10-5
0.62	10.958	2020-8-2
0.62	11.017	2019-2-9
0.62	11.041	2019-4-5
0.62	11.051	2019-7-6
0.62	11.063	2019-2-22
0.62	11.097	2019-10-4
0.62	11.104	2021-3-26
0.63	11.106	2019-9-24
0.63	11.120	2020-10-10
0.63	11.139	2020-4-17
0.63	11.156	2019-3-5
0.63	11.195	2019-2-14
0.63	11.225	2021-2-24
0.63	11.323	2019-2-17
0.63	11.334	2019-5-30
0.64	11.388	2020-10-17
0.64	11.433	2020-4-14
0.64	11.456	2019-6-30
0.64	11.463	2019-9-23
0.64	11.478	2019-2-16
0.64	11.517	2020-7-1
0.64	11.520	2021-5-8
0.64	11.570	2021-4-2
0.64	11.597	2020-7-13
0.65	11.833	2020-4-29
0.65	11.851	2020-10-6
0.65	11.941	2020-7-2
0.65	11.948	2020-2-14
0.65	11.950	2020-9-15
0.65	11.996	2021-4-19
0.65	12.028	2019-4-19
0.65	12.038	2020-10-9
0.66	12.052	2020-6-2
0.66	12.102	2019-9-9
0.66	12.105	2019-9-4
0.66	12.136	2019-5-15
0.66	12.194	2019-2-11
0.66	12.208	2020-4-4
0.66	12.215	2020-10-4
0.66	12.224	2021-5-2
0.67	12.246	2019-3-19
0.67	12.246	2019-3-1
0.67	12.319	2020-9-6
0.67	12.323	2020-7-14
0.67	12.327	2021-4-20
0.67	12.329	2020-9-26
0.67	12.368	2020-9-25
0.67	12.429	2020-9-18
0.68	12.479	2020-9-16
0.68	12.490	2019-8-7
0.68	12.532	2020-10-8
0.68	12.611	2021-3-11
0.68	12.626	2019-7-11
0.68	12.748	2020-5-28
0.68	12.793	2021-3-25
0.68	12.804	2020-9-11
0.68	12.819	2021-5-3
