0.45	9.867	2021-2-23
0.45	9.883	2019-2-16
0.45	9.883	2019-10-17
0.45	9.883	2020-2-16
0.45	9.900	2019-10-8
0.45	9.900	2019-10-9
0.45	9.933	2019-10-24
0.45	9.933	2020-2-15
0.46	9.933	2020-4-9
0.46	9.950	2019-10-21
0.46	9.950	2020-4-3
0.46	9.967	2019-10-18
0.46	9.967	2020-10-17
0.46	10.017	2020-8-23
0.46	10.050	2019-3-31
0.46	10.067	2019-2-25
0.47	10.067	2020-7-2
0.47	10.083	2019-2-17
0.47	10.100	2020-9-10
0.47	10.117	2019-2-22
0.47	10.117	2021-2-17
0.47	10.133	2019-4-8
0.47	10.133	2019-10-19
0.47	10.167	2019-2-23
0.48	10.183	2019-10-3
0.48	10.183	2021-3-3
0.48	10.200	2021-4-1
0.48	10.233	2020-10-18
0.48	10.233	2021-2-24
0.48	10.267	2019-10-1
0.48	10.267	2020-10-7
0.48	10.283	2019-2-27
0.49	10.283	2020-9-30
0.49	10.300	2019-10-14
0.49	10.317	2019-3-3
0.49	10.317	2019-10-15
0.49	10.333	2019-10-13
0.49	10.383	2019-4-9
0.49	10.383	2019-10-7
0.49	10.417	2020-10-15
0.50	10.433	2020-9-29
0.50	10.433	2021-2-25
0.50	10.433	2021-2-26
0.50	10.450	2020-10-14
0.50	10.467	2020-10-11
0.50	10.483	2019-2-26
0.50	10.533	2019-3-1
0.50	10.533	2020-10-10
0.51	10.550	2021-4-10
0.51	10.583	2020-9-11
0.51	10.600	2020-10-9
0.51	10.617	2019-9-7
0.51	10.633	2020-10-5
0.51	10.650	2019-9-2
0.51	10.667	2019-10-6
0.51	10.683	2019-3-6
0.52	10.717	2019-3-5
0.52	10.717	2021-3-2
0.52	10.733	2020-10-8
0.52	10.767	2020-10-4
0.52	10.767	2021-3-4
0.52	10.783	2019-7-6
0.52	10.800	2019-3-13
0.52	10.800	2019-3-22
0.53	10.800	2020-9-26
0.53	10.817	2019-3-15
0.53	10.817	2019-9-14
0.53	10.817	2020-10-3
0.53	10.817	2020-10-6
0.53	10.817	2021-3-5
0.53	10.833	2019-3-7
0.53	10.850	2019-4-22
0.54	10.850	2020-4-8
0.54	10.867	2019-3-23
0.54	10.867	2020-5-1
0.54	10.883	2019-3-8
0.54	10.883	2019-10-5
0.54	10.883	2021-3-6
0.54	10.883	2021-3-7
0.54	10.900	2019-3-12
0.55	10.900	2019-10-4
0.55	10.917	2020-9-27
0.55	10.917	2020-10-1
0.55	10.917	2021-3-8
0.55	10.933	2019-9-30
0.55	10.933	2020-10-2
0.55	10.950	2019-9-24
0.55	10.967	2019-3-9
0.56	10.983	2020-4-5
0.56	10.983	2021-3-10
0.56	11.017	2021-3-9
0.56	11.033	2019-9-28
0.56	11.033	2019-9-29
0.56	11.050	2020-9-2
0.56	11.050	2021-3-12
0.56	11.083	2019-4-20
0.57	11.083	2020-9-28
0.57	11.117	2019-3-14
0.57	11.117	2020-4-21
0.57	11.117	2021-3-25
0.57	11.133	2021-3-26
0.57	11.150	2019-3-11
0.57	11.150	2019-5-12
0.57	11.167	2019-4-3
0.57	11.167	2019-4-18
0.58	11.183	2020-9-25
0.58	11.183	2021-3-13
0.58	11.217	2019-9-27
0.58	11.217	2020-4-27
0.58	11.217	2020-9-18
0.58	11.217	2020-9-24
0.58	11.217	2021-3-11
0.58	11.233	2021-3-17
0.59	11.250	2019-9-25
0.59	11.250	2021-3-14
0.59	11.250	2021-4-21
0.59	11.267	2019-3-16
0.59	11.283	2019-9-23
0.59	11.283	2020-9-23
0.59	11.300	2019-9-12
0.59	11.300	2020-9-9
0.60	11.300	2021-3-24
0.60	11.300	2021-3-31
0.60	11.317	2019-3-29
0.60	11.333	2019-3-19
0.60	11.350	2019-9-15
0.60	11.350	2021-3-16
0.60	11.367	2020-9-20
0.60	11.383	2019-3-21
0.61	11.383	2020-9-22
0.61	11.400	2020-4-4
0.61	11.400	2021-3-15
0.61	11.417	2019-3-17
0.61	11.417	2019-3-18
0.61	11.417	2019-9-20
0.61	11.417	2019-9-22
0.61	11.450	2020-9-17
0.62	11.450	2020-9-21
0.62	11.467	2019-9-21
0.62	11.500	2020-9-15
0.62	11.517	2019-3-20
0.62	11.517	2019-7-31
0.62	11.533	2019-4-6
0.62	11.533	2020-4-10
0.62	11.533	2021-3-20
0.63	11.550	2019-9-17
0.63	11.567	2021-3-19
0.63	11.583	2019-9-4
0.63	11.583	2019-9-6
0.63	11.583	2020-9-16
0.63	11.583	2021-3-21
0.63	11.617	2019-9-10
0.63	11.617	2019-9-19
0.64	11.617	2021-4-5
0.64	11.633	2019-4-5
0.64	11.633	2019-9-18
0.64	11.633	2020-9-3
0.64	11.633	2021-3-22
0.64	11.650	2020-9-19
0.64	11.667	2020-8-16
0.64	11.667	2021-3-23
0.65	11.683	2020-8-2
0.65	11.700	2020-6-9
0.65	11.700	2021-5-5
0.65	11.717	2019-4-2
0.65	11.717	2020-8-27
0.65	11.733	2020-9-12
0.65	11.733	2021-4-15
0.65	11.733	2021-4-29
0.66	11.750	2020-4-15
0.66	11.767	2019-3-30
0.66	11.767	2019-4-23
0.66	11.767	2020-9-14
0.66	11.783	2019-5-7
0.66	11.800	2020-9-13
0.66	11.800	2021-3-27
0.66	11.817	2019-9-11
0.67	11.817	2019-9-16
0.67	11.850	2019-8-29
0.67	11.850	2020-4-26
0.67	11.850	2021-4-11
0.67	11.867	2019-5-28
0.67	11.867	2020-4-24
0.67	11.900	2019-9-13
0.67	11.900	2020-9-6
0.68	11.933	2020-8-29
0.68	11.950	2019-9-9
0.68	11.950	2021-4-6
0.68	11.967	2021-3-29
0.68	11.967	2021-4-2
0.68	11.967	2021-4-28
0.68	11.983	2019-4-30
0.68	12.000	2020-4-29
0.69	12.000	2021-5-4
0.69	12.017	2019-5-13
0.69	12.017	2021-4-19
0.69	12.033	2019-9-8
0.69	12.033	2021-3-30
0.69	12.050	2020-8-15
0.69	12.050	2020-9-7
0.69	12.067	2019-4-1
0.70	12.067	2019-5-3
0.70	12.067	2019-7-23
0.70	12.067	2019-9-5
0.70	12.067	2020-9-8
0.70	12.083	2020-7-22
0.70	12.100	2019-9-3
0.70	12.100	2020-6-1
0.70	12.117	2020-4-6
0.71	12.133	2019-4-7
0.71	12.133	2019-5-2
0.71	12.133	2019-8-31
0.71	12.133	2020-8-28
0.71	12.167	2019-4-19
0.71	12.183	2020-9-4
0.71	12.200	2021-5-2
0.71	12.217	2021-4-3
0.71	12.217	2021-4-4
0.72	12.233	2020-9-5
0.72	12.250	2019-4-4
0.72	12.267	2019-4-21
0.72	12.267	2020-4-7
0.72	12.267	2020-8-17
0.72	12.267	2021-4-25
0.72	12.283	2020-4-30
0.72	12.300	2019-6-16
0.73	12.300	2021-4-12
0.73	12.317	2019-9-1
0.73	12.333	2020-8-30
0.73	12.333	2020-8-31
0.73	12.333	2021-4-9
0.73	12.350	2020-4-11
0.73	12.350	2020-4-17
0.73	12.350	2021-4-7
0.74	12.367	2019-6-2
0.74	12.367	2020-8-25
0.74	12.367	2020-9-1
0.74	12.383	2019-5-1
0.74	12.383	2019-6-13
0.74	12.383	2019-8-30
0.74	12.383	2020-7-17
0.74	12.400	2019-5-5
0.75	12.400	2020-4-14
0.75	12.433	2019-4-28
0.75	12.433	2020-8-24
0.75	12.450	2020-4-12
0.75	12.450	2020-8-19
0.75	12.467	2020-4-16
0.75	12.467	2020-6-8
0.75	12.467	2021-4-8
0.76	12.483	2019-5-4
0.76	12.517	2019-7-17
0.76	12.533	2019-5-29
0.76	12.533	2019-6-20
0.76	12.533	2020-6-6
0.76	12.533	2021-4-13
0.76	12.567	2019-4-27
0.76	12.583	2020-8-22
0.77	12.600	2019-5-14
0.77	12.633	2020-4-19
0.77	12.633	2020-4-23
0.77	12.650	2021-4-14
0.77	12.650	2021-4-17
0.77	12.650	2021-4-18
0.77	12.667	2019-6-29
